query_id,query_type,query,intent,candidate_id,document_id,matter_id,chunk_id,retrieved_by,bm25_rank,vector_rank,metadata_rank,matter_rank,hierarchical_rank,graph_seed_rank,similar_matter_rank,graph_expansion_rank,matter_scope_rank,bm25_score,vector_score,metadata_score,matter_score,hierarchical_score,graph_seed_score,similar_matter_score,graph_expansion_score,matter_scope_score,rrf_score,rrf_rank,reranker_score,reranker_rank,final_score,final_rank,is_relevant,relevance_grade,gold_kind,matter_stage_score,doc_stage_score,hierarchy_label
H-ARG-00001,argument,Which documents support our argument on Wimbledon — PCIJ Series A No. 1?,matter_research,DOC-00001-C000,DOC-00001,MTR-1923-00001,DOC-00001-C000,vector,,2,,,,,,,,,0.4909272486524143,,,,,,,,0.016129,4,0.775,1,0.775,1,1,1,document,,,
H-ARG-00001,argument,Which documents support our argument on Wimbledon — PCIJ Series A No. 1?,matter_research,DOC-00003-C003,DOC-00003,MTR-1923-00001,DOC-00003-C003,vector,,31,,,,,,,,,0.42057249423429477,,,,,,,,0.010989,62,0.6166524265226212,2,0.6166524265226212,2,1,1,document,,,
H-ARG-00001,argument,Which documents support our argument on Wimbledon — PCIJ Series A No. 1?,matter_research,DOC-00004-C033,DOC-00004,MTR-1923-00001,DOC-00004-C033,vector,,7,,,,,,,,,0.46171385278023247,,,,,,,,0.014925,14,0.6083605551538839,3,0.6083605551538839,3,1,1,document,,,
H-ARG-00001,argument,Which documents support our argument on Wimbledon — PCIJ Series A No. 1?,matter_research,DOC-00003-C000,DOC-00003,MTR-1923-00001,DOC-00003-C000,vector,,5,,,,,,,,,0.4868990480899811,,,,,,,,0.015385,10,0.606422400971319,4,0.606422400971319,4,1,1,document,,,
H-ARG-00001,argument,Which documents support our argument on Wimbledon — PCIJ Series A No. 1?,matter_research,DOC-00004-C014,DOC-00004,MTR-1923-00001,DOC-00004-C014,vector,,29,,,,,,,,,0.4244518280029297,,,,,,,,0.011236,58,0.5974830701086299,5,0.5974830701086299,5,1,1,document,,,
H-ARG-00001,argument,Which documents support our argument on Wimbledon — PCIJ Series A No. 1?,matter_research,DOC-00001-C002,DOC-00001,MTR-1923-00001,DOC-00001-C002,vector,,6,,,,,,,,,0.46721537313507144,,,,,,,,0.015152,12,0.5667260896875824,6,0.5667260896875824,6,1,1,document,,,
H-ARG-00001,argument,Which documents support our argument on Wimbledon — PCIJ Series A No. 1?,matter_research,DOC-00003-C004,DOC-00003,MTR-1923-00001,DOC-00003-C004,vector,,4,,,,,,,,,0.48773616552352905,,,,,,,,0.015625,8,0.5487661102008629,7,0.5487661102008629,7,1,1,document,,,
H-ARG-00001,argument,Which documents support our argument on Wimbledon — PCIJ Series A No. 1?,matter_research,DOC-00004-C013,DOC-00004,MTR-1923-00001,DOC-00004-C013,vector,,11,,,,,,,,,0.45229638191505017,,,,,,,,0.014085,22,0.5468362904466278,8,0.5468362904466278,8,1,1,document,,,
H-ARG-00001,argument,Which documents support our argument on Wimbledon — PCIJ Series A No. 1?,matter_research,DOC-00150-C009,DOC-00150,MTR-1934-00047,DOC-00150-C009,vector,,17,,,,,,,,,0.4403468441549756,,,,,,,,0.012987,34,0.5424610580842191,9,0.5424610580842191,9,0,0,document,,,
H-ARG-00001,argument,Which documents support our argument on Wimbledon — PCIJ Series A No. 1?,matter_research,DOC-00002-C000,DOC-00002,MTR-1923-00001,DOC-00002-C000,vector,,14,,,,,,,,,0.44351223447846055,,,,,,,,0.013514,28,0.5193067888537453,10,0.5193067888537453,10,1,1,document,,,
H-ARG-00001,argument,Which documents support our argument on Wimbledon — PCIJ Series A No. 1?,matter_research,DOC-00003-C002,DOC-00003,MTR-1923-00001,DOC-00003-C002,vector,,20,,,,,,,,,0.43440502882003784,,,,,,,,0.0125,40,0.49601454487482477,11,0.49601454487482477,11,1,1,document,,,
H-ARG-00001,argument,Which documents support our argument on Wimbledon — PCIJ Series A No. 1?,matter_research,DOC-00163-C001,DOC-00163,MTR-1935-00050,DOC-00163-C001,vector,,15,,,,,,,,,0.44295352697372437,,,,,,,,0.013333,30,0.40970052209017915,12,0.40970052209017915,12,0,0,document,,,
H-ARG-00001,argument,Which documents support our argument on Wimbledon — PCIJ Series A No. 1?,matter_research,DOC-00235-C036,DOC-00235,MTR-1924-00074,DOC-00235-C036,vector,,22,,,,,,,,,0.43270004597902056,,,,,,,,0.012195,44,0.34812376760998276,13,0.34812376760998276,13,0,0,document,,,
H-ARG-00001,argument,Which documents support our argument on Wimbledon — PCIJ Series A No. 1?,matter_research,DOC-00074-C000,DOC-00074,MTR-1929-00021,DOC-00074-C000,vector,,3,,,,,,,,,0.48803488874539425,,,,,,,,0.015873,6,0.3416165770637778,14,0.3416165770637778,14,0,0,document,,,
